-2018-10-21 09:24:49.197,373,8,840F,8410,8415,8423,8428,8429,842E,8430,0,-1874.27,653.84,122.89,-499.05,-683.38,1399.6,1771.08,-100.8,-87.8,-96.8,-92.2,-89.6,-90.6,-99.4,-106.6,47.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-2018-10-21 09:24:49.650,8,7,840F,8410,8415,8423,8429,842E,8430,0,-1885.99,679.16,199.81,-709.65,1954,2413.66,-99,-88.6,-102.6,-97,-94.8,-102.8,-103,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-2018-10-21 09:24:49.650,373,9,840F,8410,8415,8423,8428,8429,842E,8430,8432,0,-2269.66,373.35,-294.09,-889.29,-1078.31,966.21,2047.34,244.84,-100.4,-88,-98.8,-94.6,-89.8,-92.2,-99.2,-101.8,-101.2,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-2018-10-21 09:24:49.993,373,7,8410,8415,8423,8428,8429,842E,8430,0,2604.56,1969.48,1390.22,1181.97,3480.24,6880.75,-88.4,-101.2,-97.4,-90.4,-91.2,-102.6,-100.6,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-2018-10-21 09:24:49.962,8,6,8410,8415,8423,8429,842E,8430,0,2565.16,2049.69,1174.47,4358.28,4280.89,-87.6,-101.2,-100.8,-96,-100.6,-103.4,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-2018-10-21 09:24:50.103,8,6,840F,8410,8415,8423,8429,842E,0,-2275.29,409.47,-251.87,-1104.58,1094.26,-92,-88.2,-100.2,-100.2,-96.6,-101.4,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-2018-10-21 09:24:50.103,373,8,840F,8410,8415,8423,8428,8429,842E,8432,0,-1942.75,695.58,42.21,-547.83,-756.55,1288.91,-254.22,-100.8,-88,-98.4,-93.8,-89.8,-94.6,-99,-101.4,51.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-2018-10-21 09:24:50.915,8,9,840F,8410,8412,8423,8429,842E,8430,8432,8437,0,-2105.97,-607.4,-93.81,-921.66,1074.56,2305.78,198.4,3011.21,-99.4,-88,-102.6,-98.4,-92.6,-102.8,-104.8,-93.2,-104.4,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-2018-10-21 09:24:50.915,373,9,840F,8410,8412,8423,8428,8429,842E,8430,8432,0,-1825.96,905.24,145.4,-445.58,-640.23,1337.69,2378.95,626.63,-102.4,-88.6,-105.6,-94.6,-90,-90.8,-101.2,-104.8,-100.2,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-2018-10-21 09:24:51.056,8,7,840F,8410,8415,8423,8429,842E,8430,0,-1890.21,756.55,110.22,-719.03,2441.33,5256.01,-102.8,-88.2,-101.6,-97.2,-92.8,-98.4,-98.8,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-2018-10-21 09:24:51.056,373,9,840F,8410,8412,8415,8423,8428,8429,842E,8430,0,-2172.57,-457.31,563.31,-109.75,-786.57,-977.94,1014.52,1810.48,-96,-89.6,-101.8,-96.4,-89.6,-89.8,-90.0,-99.8,-104.2,55.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-2018-10-21 09:24:51.196,8,7,840F,8410,8415,8423,8429,842E,8430,0,-1899.13,669.78,122.89,-720.91,1522.96,1801.1,-103.6,-88.6,-102,-97,-91.4,-102.6,-103.4,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-2018-10-21 09:24:51.196,373,10,840F,8410,8412,8415,841A,8423,8428,8429,842E,8430,0,-1944.62,587.7,577.38,2116.76,50.66,-551.12,-749.99,1317.52,1943.68,-98.8,-88,-104.8,-100.8,-105.6,-92.0,-89.6,-91.4,-100.8,-103.8,56.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-2018-10-21 09:24:51.774,373,5,8410,8415,8423,8429,8430,0,2657.56,1883.18,1090.04,3530.9,-88.8,-100.4,-94,-92.2,-104.8,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-2018-10-21 09:24:51.774,8,5,8410,8415,8423,8429,8430,0,2485.42,1742.47,927.28,3385.5,-88.6,-100.8,-97.4,-92.6,-106.6,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-2018-10-21 09:24:51.977,8,7,840F,8410,8415,8423,8429,842E,8430,0,-2193.68,507.5,-206.38,-1007.49,1240.6,4400.49,-95.8,-87.6,-101.8,-98,-92.6,-102.2,-96.8,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-2018-10-21 09:24:51.977,373,10,840F,8410,8412,8415,8423,8428,8429,842E,8430,8432,0,-2178.67,235.92,587.7,-201.22,-795.95,-980.28,995.29,1439,22.04,-99.8,-89.8,-99.4,-95.0,-94.0,-89.6,-90.2,-100.4,-104.2,-97.0,59.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-2018-10-21 09:24:52.665,8,6,840F,8410,8415,8423,842E,8430,0,-1935.24,446.52,-196.53,901.02,1473.24,-97.4,-87.8,-104.8,-100.8,-104.8,-105.2,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-2018-10-21 09:24:52.665,373,8,840F,8410,8415,8423,8428,842E,8430,8432,0,-1772.02,678.69,90.05,-506.09,1338.16,1861.13,552.99,-97.6,-90,-101.4,-91.4,-90,-100.6,-102.6,-98.2,61.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
